,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
753,258437,CINTA CANELA 48MMX100M C/36 ROLLOS,CAJ,258437,CINTA CANELA 48MMX100M C/36 ROLLOS
352,12578,CINTA AMARILLAPRECAUCION3x110 yds,ROL,257821,TAPE TRANSPARENTE 48X100M C/36 ROLLOS
95,PAP00037,CINTA ADHESIVA TRANSPARENTE 3/4 IN X 1296 HIGHLAND,PZA,PAP00037,CINTA ADHESIVA TRANSPARENTE 3/4 IN X 1296 HIGHLAND
4614,44329,CINCHO PLASTICOS 35cmX4.5mm 50 LBS NEGRO C/25 PIEZAS,PAQ,44329,CINCHO PLASTICOS 35cmX4.5mm 50 LBS NEGRO C/25 PIEZAS
5450,44301,CINCHO PLASTICO 15cmX2.5mm 18 LBS BLANCO C/100 PIEZAS,PAQ,434041,TAPE VINIL PARA DELIMITAR AREA 48X33m NEGRO
10765,IIT-BRIGA-NEG-XXL,CHALECOS NEGRO TIPO BRIGADISTATALLA 2XL,PZA,IIT-BRIGA-NEG-XXL,CHALECOS NEGRO TIPO BRIGADISTA TALLA 2XL
7433,IIT-BRIGA-VER,CHALECO VERDE TIPO RESCATISTAUNITALLA,PZA,IIT-BRIGA-VER,CHALECO VERDE TIPO RESCATISTA UNITALLA
7922,IIT-BRIGA-ROJ,CHALECO ROJO TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-ROJ,CHALECO ROJO TIPO RESCATISTA UNITALLA
7921,IIT-BRIGA-NARANJ,CHALECO NARANJA TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-NARANJ,CHALECO NARANJA TIPO RESCATISTA UNITALLA
8982,IIT-BRIGA-GRIS,CHALECO GRIS TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-GRIS,CHALECO GRIS TIPO RESCATISTA UNITALLA
4187,SEG-0311,CHALECO DE TELAANARANJADO C/REFLEJANTE MEDIANO,PZA,SEG-0311,CHALECO DE TELA ANARANJADO C/REFLEJANTE MEDIANO
9908,CHM-V,CHALECO DE MALLA VERDE UNITALLA,PZA,CHM-V,CHALECO DE MALLA VERDE UNITALLA
9907,CHM-R,CHALECO DE MALLA ROJO UNITALLA,PZA,CHM-R,CHALECO DE MALLA ROJO UNITALLA
9906,CHM-A,CHALECO DE MALLA AMARILLO UNITALLA,PZA,CHM-A,CHALECO DE MALLA AMARILLO UNITALLA
8981,IIT-BRIGA-CAFE,CHALECO CAFE TIPO RECATISTA UNITALLA,PZA,IIT-BRIGA-CAFE,CHALECO CAFE TIPO RECATISTA UNITALLA
10776,IIT-BRIG-ROJ-XXL,CHALECO BRIGADISTA ROJO TALLA XXL,PZA,IIT-BRIG-ROJ-XXL,CHALECO BRIGADISTA ROJO TALLA XXL
10775,IIT-BRIG-ROJ-XL,CHALECO BRIGADISTA ROJO TALLA XL,PZA,IIT-BRIG-ROJ-XXL,CHALECO BRIGADISTA ROJO TALLA XXL
10774,IIT-BRIG-ROJ-S,CHALECO BRIGADISTA ROJO TALLA S,PZA,IIT-BRIG-ROJ-S,CHALECO BRIGADISTA ROJO TALLA S
10773,IIT-BRIG-ROJ-M,CHALECO BRIGADISTA ROJO TALLA M,PZA,IIT-BRIG-ROJ-M,CHALECO BRIGADISTA ROJO TALLA M
10772,IIT-BRIG-ROJ-L,CHALECO BRIGADISTA ROJO TALLA L,PZA,IIT-BRIG-ROJ-L,CHALECO BRIGADISTA ROJO TALLA L
10771,IIT-BRIG-ROJ-3XL,CHALECO BRIGADISTA ROJO TALLA 3XL,PZA,IIT-BRIG-ROJ-XXL,CHALECO BRIGADISTA ROJO TALLA XXL
10770,IIT-BRIG-NEG-XL,CHALECO BRIGADISTA NEGRO TALLA XL,PZA,IIT-BRIG-NEG-XL,CHALECO BRIGADISTA NEGRO TALLA XL
10769,IIT-BRIG-NEG-S,CHALECO BRIGADISTA NEGRO TALLA S,PZA,IIT-BRIG-NEG-S,CHALECO BRIGADISTA NEGRO TALLA S
10768,IIT-BRIG-NEG-M,CHALECO BRIGADISTA NEGRO TALLA M,PZA,IIT-BRIG-NEG-M,CHALECO BRIGADISTA NEGRO TALLA M
10767,IIT-BRIG-NEG-L,CHALECO BRIGADISTA NEGRO TALLA L,PZA,IIT-BRIG-NEG-L,CHALECO BRIGADISTA NEGRO TALLA L
8905,IIT-BRIGA-AZUR,CHALECO AZUL REY TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-AZUR,CHALECO AZUL REY TIPO RESCATISTA UNITALLA
3808,IIT-BRIGA-AZUM,CHALECO AZUL MARINO TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-AZUM,CHALECO AZUL MARINO TIPO RESCATISTA UNITALLA
907,SR-1020ANCR-XL,CHALECO ANARANAJADO ALTA VISIVILIDAD CON REFLEJANTE GRIS XL,PZA,SR-1020ANCR-L,CHALECO ANARANAJADO ALTA VISIVILIDAD CON REFLEJANTE GRIS L
4192,SR-1020ANCR-L,CHALECO ANARANAJADO ALTA VISIVILIDAD CON REFLEJANTE GRIS L,PZA,SR-1020ANCR-L,CHALECO ANARANAJADO ALTA VISIVILIDAD CON REFLEJANTE GRIS L
7920,IIT-BRIGA-AMARI,CHALECO AMARILLO TIPO RESCATISTA UNITALLA,PZA,IIT-BRIGA-AMARI,CHALECO AMARILLO TIPO RESCATISTA UNITALLA
9247,RX064450Z,CERA PREMIUM064MM X 450METROS,PZA,RX064450Z,CERA PREMIUM064MM X 450METROS
6587,CER-PIS,CERA P/PISO SUPER GLOSS 3.785 LTS,PZA,CER-PIS,CERA P/PISO SUPER GLOSS 3.785 LTS
1572,57008,CEPILLO TIPO PLANCHA,PZA,57008,CEPILLO TIPO PLANCHA
11128,LIM141,CEPILLO SEMIDURO 24,PZA,LIM141,CEPILLO SEMIDURO 24 
24,LIM020,CEPILLO SANITARIO CON TAZON,PZA,LIM020,CEPILLO SANITARIO CON TAZON
216,LIM022,CEPILLO MARRON DURO 36,PZA,LIM020,CEPILLO SANITARIO CON TAZON
217,LIM023,CEPILLO DE PVC GRIS 36,PZA,LIM032,JABON LIQUIDO PARA TRASTES AXION 2.8 LTS
1043,LIM021,CEPILLO DE PVC GRIS 24,PZA,LIM102,TENEDOR C/100 PIEZAS
1020,14294,CASCO DE SEGURIDADAJUSTE DE MATRACA AMARILLO,PZA,14294,CASCO DE SEGURIDADAJUSTE DE MATRACA AMARILLO
6358,25045,CASCO DE SEGURIDAD VERDE,PZA,25045,CASCO DE SEGURIDAD VERDE
4422,10373,CASCO DE SEGURIDAD ROJO,PZA,10337,ESCALERA TIPO TIJETA 2.4m
130,SE-CA-08,CASCO DE SEGURIDAD BLANCO,PZA,SE-CA-08,CASCO DE SEGURIDAD BLANCO
0,25037,CASCO DE SEGURIDAD AMARILLO,PZA,25037,CASCO DE SEGURIDAD AMARILLO
1081,LIM113,CARRITO CON EXPRIMIDOR AZUL,PZA,LIM133,DESPACHADOR DE TOALLA EN ROLLO AUTOMATICA
400,LIM112,CARRITO CON EXPRIMIDOR AMARILLO,PZA,LIM121,SANITIZANTE DESINFECTANTE 3.78 LTS
6899,CAR-BL,CARPETA BLANCA 3,PZA,CAR-BL,CARPETA BLANCA 3 
6900,CARP-ARC,CARPETA ARCHIVADORA CAFE,PZA,CARP-ARC,CARPETA ARCHIVADORA CAFE
1405,26005,CARETA PARA SOLDADOR,PZA,26005,CARETA PARA SOLDADOR
1997,06-0200-51,CARETA DE POLICARBONATO 4X6IN C/10 PIEZAS,PAQ,06-0200-51,CARETA DE POLICARBONATO 4X6IN C/10 PIEZAS
5113,CAP-MZ,CAPUCHA DE MEZCLILLA PARA SOLDADOR,PZA,CAP-MZ,CAPUCHA DE MEZCLILLA PARA SOLDADOR
11680,CSA-XL,CAMISA PARA SOLDADOR AZUL TALLA XL,PZA,CSA-XL,CAMISA PARA SOLDADOR AZUL TALLA XL
11679,CSA-S,CAMISA PARA SOLDADOR AZUL TALLA S,PZA,CSA-S,CAMISA PARA SOLDADOR AZUL TALLA S
522,CSA-M,CAMISA PARA SOLDADOR AZUL TALLA M,PZA,CSA-M,CAMISA PARA SOLDADOR AZUL TALLA M
521,CSA-L,CAMISA PARA SOLDADOR AZUL TALLA L,PZA,CSA-L,CAMISA PARA SOLDADOR AZUL TALLA L
3643,EM-02,CAJA CAFE 10X10X20 IN STRETCH FILM,PZA,EM-02,CAJA CAFE 10X10X20 IN (STRETCH FILM)
774,CAF10,CAFFE ORGANICO RIGOS 500 gr.,PAQ,CAF01,CAFE FOLGERS 1.36 KG
1350,CAF01,CAFE FOLGERS 1.36 KG,PZA,CAF01,CAFE FOLGERS 1.36 KG
4725,CAF-CLSC,CAFE CLASICO 225GR,PZA,CAF-CLSC,CAFE CLASICO 225GR
160,BUR-316X48X750C24P12,BURBUJA 3/16 X48X 750 FT CORTE A 24 P/ 12,ROL,BUR-316X48X750C24P12,BURBUJA 3/16 X48X 750 FT CORTE A 24 P/ 12
9743,BUR-316X48X750C16P12,BURBUJA 3/16 X48X 750 FT CORTE A 16 P/ 12,ROL,BUR-316X48X750C24P12,BURBUJA 3/16 X48X 750 FT CORTE A 24 P/ 12
421,BUR-316X48X750C12P12,BURBUJA 3/16 X 48 X 750 FT CORTE A 12 P/ 12,ROL,BUR-316X48X750C24P12,BURBUJA 3/16 X48X 750 FT CORTE A 24 P/ 12
1791,BUR-316X48X750,BURBUJA 3/16 X 48 X 750 FT,ROL,BUR-316X48X750,BURBUJA 3/16 X 48 X 750 FT
4195,BUR1/2X48X250P62,BURBUJA 1/2 X 48 X 250 FT PUNTEO A 62,ROL,BUR1/2X48X250P62,BURBUJA 1/2 X 48 X 250 FT PUNTEO A 62
4194,BUR1/2X48X250P16,BURBUJA 1/2 X 48 X 250 FT PUNTEO A 16,ROL,BUR1/2X48X250P62,BURBUJA 1/2 X 48 X 250 FT PUNTEO A 62
1204,BUR-1/2X48X250P12,BURBUJA 1/2 X 48 X 250 FT PUNTEADO A 12,ROL,BUR-1/2X48X250P12,BURBUJA 1/2 X 48 X 250 FT PUNTEADO A 12
1203,BUR-1/2X48X250C24P12,BURBUJA 1/2 X 48 X 250 FT CORTE A 24 PUNTEADO A 12,ROL,BUR-1/2X48X250C24P12,BURBUJA 1/2 X 48 X 250 FT CORTE A 24 PUNTEADO A 12
2234,BUR-1/2X48X250C24,BURBUJA 1/2 X 48 X 250 FT CORTE A 24,ROL,BUR-1/2X48X250C24,BURBUJA 1/2 X 48 X 250 FT CORTE A 24
420,BUR-1/2X48X250C12P12,BURBUJA 1/2 X 48 X 250 FT CORTE A 12 PUNTEADO A 12,ROL,BUR-1/2X48X250C24P12,BURBUJA 1/2 X 48 X 250 FT CORTE A 24 PUNTEADO A 12
2233,BUR-1/2X48X250,BURBUJA 1/2 X 48 X 250 FT,ROL,BUR-1/2X48X250,BURBUJA 1/2 X 48 X 250 FT
2694,BUC-1/2,BUCKLES DE METAL 1/2 C/1000 PIEZAS,CAJ,BUC-1/2,BUCKLES DE METAL 1/2 C/1000 PIEZAS
4604,24476,BROCHA REGLA DE 4'',PZA,24476,BROCHA REGLA DE 4''
1401,24473,BROCHA REGLA DE 2'',PZA,24473,BROCHA REGLA DE 2''
4692,13344,BROCHA 2MANGO DE MADERA,PZA,13344,BROCHA 2  MANGO DE MADERA
4691,13342,BROCHA 1MANGO DE MADERA,PZA,13342,BROCHA 1  MANGO DE MADERA
9470,BRA-B,BRAZALETE DE COLORES PARA BRAZO,PZA,BRA-B,BRAZALETE DE COLORES PARA BRAZO
441,LIM128,BOTE REDONDO PARA BASURA 55 GAL SIN TAPA,PZA,LIM128,BOTE REDONDO PARA BASURA 55 GAL SIN TAPA
81,LIM013,BOTE PARA ATOMIZADOR 1 LITRO,PZA,LIM103,CUCHARA C/100 PIEZAS
182,LIM087,BOTE DE PLASTICO NEGRO PARA BASURA DE 7 GALONES,PZA,LIM087,BOTE DE PLASTICO NEGRO PARA BASURA DE 7 GALONES
1101,505-28,BOTA INDUSTRIAL TAMARA MODELO 505,PAR,505-28,BOTA INDUSTRIAL TAMARA MODELO 505
3878,300-31,BOTA INDUSTRIAL TAMARA MOD. 300 31,PAR,300-31,BOTA INDUSTRIAL TAMARA MOD. 300 31
8390,300-30.5,BOTA INDUSTRIAL TAMARA MOD. 300 30.5,PAR,300-30.5,BOTA INDUSTRIAL TAMARA MOD. 300 30.5
742,300-30,BOTA INDUSTRIAL TAMARA MOD. 300 30,PAR,300-30,BOTA INDUSTRIAL TAMARA MOD. 300 30
1631,300-29.5,BOTA INDUSTRIAL TAMARA MOD. 300 29.5,PAR,300-29.5,BOTA INDUSTRIAL TAMARA MOD. 300 29.5
741,300-29,BOTA INDUSTRIAL TAMARA MOD. 300 29,PAR,300-29,BOTA INDUSTRIAL TAMARA MOD. 300 29
1629,300-28.5,BOTA INDUSTRIAL TAMARA MOD. 300 28.5,PAR,300-28.5,BOTA INDUSTRIAL TAMARA MOD. 300 28.5
121,300-28,BOTA INDUSTRIAL TAMARA MOD. 300 28,PAR,300-28,BOTA INDUSTRIAL TAMARA MOD. 300 28
738,300-27.5,BOTA INDUSTRIAL TAMARA MOD. 300 27.5,PAR,300-27.5,BOTA INDUSTRIAL TAMARA MOD. 300 27.5
120,300-27,BOTA INDUSTRIAL TAMARA MOD. 300 27,PAR,300-27,BOTA INDUSTRIAL TAMARA MOD. 300 27
119,300-26.5,BOTA INDUSTRIAL TAMARA MOD. 300 26.5,PAR,300-26.5,BOTA INDUSTRIAL TAMARA MOD. 300 26.5
3868,300-25.5,BOTA INDUSTRIAL TAMARA MOD. 300 25.5,PAR,300-25.5,BOTA INDUSTRIAL TAMARA MOD. 300 25.5
1647,300-25,BOTA INDUSTRIAL TAMARA MOD. 300 25,PAR,300-25,BOTA INDUSTRIAL TAMARA MOD. 300 25
1333,300-24.5,BOTA INDUSTRIAL TAMARA MOD. 300 24.5,PAR,300-24.5,BOTA INDUSTRIAL TAMARA MOD. 300 24.5
2758,300-23.5,BOTA INDUSTRIAL TAMARA MOD. 300 23.5,PAR,300-25.5,BOTA INDUSTRIAL TAMARA MOD. 300 25.5
2757,300-23,BOTA INDUSTRIAL TAMARA MOD. 300 23,PAR,300-32,BOTA INDUSTRIAL TAMARA MOD. 300-32
5433,300-22.5,BOTA INDUSTRIAL TAMARA MOD. 300 22.5,PAR,300-25.5,BOTA INDUSTRIAL TAMARA MOD. 300 25.5
10835,300-22,BOTA INDUSTRIAL TAMARA MOD. 300 22,PAR,300-32,BOTA INDUSTRIAL TAMARA MOD. 300-32
3165,602-30,BOTA INDUSTRIAL TAMARA MOD 602.30,PAR,602-30,BOTA INDUSTRIAL TAMARA MOD 602.30
3162,602-27,BOTA INDUSTRIAL TAMARA MOD 602.27,PAR,602-27,BOTA INDUSTRIAL TAMARA MOD 602.27
3161,602-26,BOTA INDUSTRIAL TAMARA MOD 602.26,PAR,602-26,BOTA INDUSTRIAL TAMARA MOD 602.26
1410,602-25,BOTA INDUSTRIAL TAMARA MOD 602.25,PAR,602-25,BOTA INDUSTRIAL TAMARA MOD 602.25
5107,602-32,BOTA INDUSTRIAL TAMARA MOD 602 32,PAR,602-30,BOTA INDUSTRIAL TAMARA MOD 602.30
9303,602-31,BOTA INDUSTRIAL TAMARA MOD 602 31,PAR,602-31,BOTA INDUSTRIAL TAMARA MOD 602 31
9301,602-29.5,BOTA INDUSTRIAL TAMARA MOD 602 29.5,PAR,602-29.5,BOTA INDUSTRIAL TAMARA MOD 602 29.5
3164,602-29,BOTA INDUSTRIAL TAMARA MOD 602 29,PAR,602-29,BOTA INDUSTRIAL TAMARA MOD 602 29
9299,602-28.5,BOTA INDUSTRIAL TAMARA MOD 602 28.5,PAR,602-28.5,BOTA INDUSTRIAL TAMARA MOD 602 28.5
1411,602-28,BOTA INDUSTRIAL TAMARA MOD 602 28,PAR,602-28,BOTA INDUSTRIAL TAMARA MOD 602 28
9297,602-27.5,BOTA INDUSTRIAL TAMARA MOD 602 27.5,PAR,602-27.5,BOTA INDUSTRIAL TAMARA MOD 602 27.5
9295,602-26.5,BOTA INDUSTRIAL TAMARA MOD 602 26.5,PAR,602-26.5,BOTA INDUSTRIAL TAMARA MOD 602 26.5
3159,602-24,BOTA INDUSTRIAL TAMARA MOD 602 24,PAR,602-24,BOTA INDUSTRIAL TAMARA MOD 602 24
10275,602-23.5,BOTA INDUSTRIAL TAMARA MOD 602 23.5,PAR,300-26.5,BOTA INDUSTRIAL TAMARA MOD. 300 26.5
5100,602-23,BOTA INDUSTRIAL TAMARA MOD 602 23,PAR,602-30,BOTA INDUSTRIAL TAMARA MOD 602.30
10274,602-22.5,BOTA INDUSTRIAL TAMARA MOD 602 22.5,PAR,602-26.5,BOTA INDUSTRIAL TAMARA MOD 602 26.5
10273,602-22,BOTA INDUSTRIAL TAMARA MOD 602 22,PAR,602-26,BOTA INDUSTRIAL TAMARA MOD 602.26
118,300-26,BOTA INDUSTRIAL TAMARA MOD 300.26,PAR,602-30,BOTA INDUSTRIAL TAMARA MOD 602.30
117,300-24,BOTA INDUSTRIAL TAMARA MOD 300.24,PAR,300-24,BOTA INDUSTRIAL TAMARA MOD 300.24
2461,STX-28,BOTA INDUSTRIAL STX NEGRA TALLA 28,PAR,STX-28,BOTA INDUSTRIAL STX NEGRA TALLA 28
1094,250-27.5,BOTA INDUSTRIAL LOKYMODELO 250,PAR,250-27.5,BOTA INDUSTRIAL LOKYMODELO 250
1092,250-26,BOTA INDUSTRIAL LOKY MODELO 250,PAR,602-25,BOTA INDUSTRIAL TAMARA MOD 602.25
1,ELN-01-26,BOTA INDUSTRIAL EVOLUTION,PAR,ELN-01-26,BOTA INDUSTRIAL EVOLUTION 
375,350-29.5,BOTA INDUSTRIAL DESYC MOD29.5,PAR,300-29.5,BOTA INDUSTRIAL TAMARA MOD. 300 29.5
9220,350-25,BOTA INDUSTRIAL DESYC MOD25,PAR,300-25,BOTA INDUSTRIAL TAMARA MOD. 300 25
2518,350-24.5,BOTA INDUSTRIAL DESYC MOD24.5,PAR,300-24.5,BOTA INDUSTRIAL TAMARA MOD. 300 24.5
2161,350-24,BOTA INDUSTRIAL DESYC MOD24,PAR,503242-S,GUANTE JAPONES C/ PALMA DE LATEX AZUL 7
5097,350-23.5,BOTA INDUSTRIAL DESYC MOD23.5,PAR,300-25.5,BOTA INDUSTRIAL TAMARA MOD. 300 25.5
3791,100-30,BOTA INDUSTRIAL DESYC MOD 30.,PAR,300-31,BOTA INDUSTRIAL TAMARA MOD. 300 31
5096,350-23,BOTA INDUSTRIAL DESYC MOD 23,PAR,300-25,BOTA INDUSTRIAL TAMARA MOD. 300 25
11092,BTMTT - 26,BOTA INDUSTRIAL CON PROTECCION METATARSAL,PAR,BTMTT - 26,BOTA INDUSTRIAL CON PROTECCION METATARSAL
10707,0330-27,BOTA INDUSTRIAL CLIFF TALLA 27,PAR,300-27,BOTA INDUSTRIAL TAMARA MOD. 300 27
10706,0330-24,BOTA INDUSTRIAL CLIFF TALLA 24,PAR,300-24,BOTA INDUSTRIAL TAMARA MOD 300.24
3312,501-28,BOTA INDUSTRIAL CAMERA MODELO ULTRA -PW TALLA 28,PAR,502801-M,GUANTE DE TEGIDO CON PUNTO PVC AMBOS LADOS TALLA M
13,SPYG2-26,BOTA ERGONOMICA SPYDER G2RIVERLINE,PAR,SPYG2-22,BOTA ERGONOMICA SPYDER G2RIVERLINE
8012,RDX-01P-23,BOTA ERGONOMICA RDXRIVERLINE,PAR,RDX-01P-23,BOTA ERGONOMICA RDXRIVERLINE
816,SPOG2-27,BOTA ERGONOMICA CHOCLO SPYDER LOW.RIVERLINE,PAR,SPOG2-27,BOTA ERGONOMICA CHOCLO SPYDER LOW.RIVERLINE
1578,LIM019,BOMBA SANITARIA,PZA,LIM091,JALADOR DE AGUA PARA PISO 40
11282,ZIP-8X10,BOLSA ZIPLOC TRANSPARENTE 8X10CAL. 200 C/1000,CAJ,ZIP-8X10,BOLSA ZIPLOC TRANSPARENTE 8X10  CAL. 200 C/1000
8379,ZIP-6X9,BOLSA ZIPLOC TRANSPARENTE 6X9CAL. 200 C/1000,CAJ,ZIP-6X6,BOLSA ZIPLOC 6X6  C/1000
3866,ZIP-6X6,BOLSA ZIPLOC 6X6C/1000,CAJ,ZIP-6X6,BOLSA ZIPLOC 6X6  C/1000
2822,BB20X40T,BOLSA TRANSPARENTE 20X40 CAL.150,KG,BB20X40T,BOLSA TRANSPARENTE 20X40 CAL.150
11100,BB20X24-T,BOLSA TRANSPARENTE 20X24CAL.100,PZA,BB20X40T,BOLSA TRANSPARENTE 20X40 CAL.150
2211,BB156X150T,BOLSA TRANSPARENTE 130+26 X 150 CM CAL 200,KG,BB156X150T,BOLSA TRANSPARENTE 130+26 X 150 CM CAL 200
206,512000,BOLSA NEGRA PARA BASURA 55 GAL C/100,CAJ,12500,TAPE NEGRO PARA AISLAR 19mX18mm C/8
681,13-10082,BOLSA NEGRA PARA BASURA 40x48 44-48 GAL C/250,CAJ,13-10082,BOLSA NEGRA PARA BASURA 40x48 44-48 GAL C/250
750,13-10627,BOLSA NEGRA PARA BASURA 33X40 33 GAL C/500,CAJ,1310-73-2,SOSA CAUSTICA CESTAL 25 KG
3200,509040,BOLSA NEGRA PARA BASURA 33X39 33 GAL C/100,CAJ,509040,BOLSA NEGRA PARA BASURA 33X39 33 GAL C/100
75,508100,BOLSA NEGRA PARA BASURA 24X33 12 A 16 GALONES C/1000,CAJ,18550,TIJERA PARA SASTRE INDUSTRIAL 8 
205,507700,BOLSA NEGRA PARA BASURA 24X24 7-10 GAL. C/1000,CAJ,507700,BOLSA NEGRA PARA BASURA 24X24 7-10 GAL. C/1000
2146,13-10459,BOLSA NEGRA PARA BASURA 24+16X60 60 GAL C/100,CAJ,0-1459,ALMOHADILLA GRIS FINO 0.52MMX0.029MM C/10 PIEZA
412,508000,BOLSA NATURAL PARA BASURA ALTA DENSIDAD 24X33 C/1000,CAJ,508000,BOLSA NATURAL PARA BASURA ALTA DENSIDAD 24X33 C/1000
413,510360,BOLSA NATURAL PARA BASURA 40X48 ALTA DENSIDAD C/250 PIEZAS,CAJ,510360,BOLSA NATURAL PARA BASURA 40X48 ALTA DENSIDAD C/250 PIEZAS
8943,1310621,BOLSA NATURAL PARA BASURA 33X40 C/250,CAJ,20631,SUSPENSION PARA CASCO AJUSTE POR INTERVALOS PRETUL
1661,BG227X250T,BOLSA GAYLOR 125+51+51X250 CM TRANSPARENTE CAL.150 C/50 PC,ROL,BG227X250T,BOLSA GAYLOR 125+51+51X250 CM TRANSPARENTE CAL.150 C/50 PC
2232,BR96X120B-200,BOLSA EN ROLLO BLANCA 50.5 +45.5 X120IMPRESA CAL200,PZA,BR96X120B-200,BOLSA EN ROLLO BLANCA 50.5 +45.5 X120  IMPRESA CAL200
766,BB90X150T,BOLSA 90X150 TRANSPARENTE CAL.150,PZA,BB90X150T,BOLSA 90X150 TRANSPARENTE CAL.150
2210,BB120X120TR,BOLSA 80+40X120 CM TRANSPARENTE CAL. 400,KG,BB120X120TR,BOLSA 80+40X120 CM TRANSPARENTE CAL. 400
5698,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTECAL 150,KG,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTE CAL 150
10600,BB80X120T-220,BOLSA 80 X 120 CM TRANSPARENTE CAL 220,KG,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTE CAL 150
9097,BB80X120T-200,BOLSA 80 X 120 CM TRANSPARENTE CAL 200,KG,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTE CAL 150
1660,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTE CAL 150,KG,BB80X120T,BOLSA 80 X 120 CM TRANSPARENTE CAL 150
2893,BR100X150T,BOLSA 70+30X150 CM TRANSPARENTEANTIESTATICA CAL.100,PZA,BR100X150T,BOLSA 70+30X150 CM TRANSPARENTE ANTIESTATICA CAL.100
2070,BR100X150T,BOLSA 70+30X150 CM TRANSPARENTE ANTIESTATICA CAL.100,PZA,BR100X150T,BOLSA 70+30X150 CM TRANSPARENTE ANTIESTATICA CAL.100
1106,BR100X130T,BOLSA 70+30 X130 CM TRASPARENTE CAL. 100 C/250 PIEZA,ROL,BR100X130T,BOLSA 70+30 X130 CM TRASPARENTE CAL. 100 C/250 PIEZA
1251,BB6X20T,BOLSA 6X20 CM TRANSPARENTE CAL150,KG,BB6X20T,BOLSA 6X20 CM TRANSPARENTE CAL150
5671,BR120X150T,BOLSA 68X26+26X150 CM TRANSPARENTE CAL.100 C/200 PIEZAS,ROL,BB120X120TR,BOLSA 80+40X120 CM TRANSPARENTE CAL. 400
3682,BB62X90T,BOLSA 62X90 CM TRANSPARENTE CAL.300,KG,BB6X20T,BOLSA 6X20 CM TRANSPARENTE CAL150
2223,BB60X90T,BOLSA 60X90 CM TRANSPARENTE CAL 150,KG,BB60X90T,BOLSA 60X90 CM TRANSPARENTE CAL 150
4155,BB60X77T,BOLSA 60X77 CM TRANSPARENTE CAL.150,KG,BB60X77T,BOLSA 60X77 CM TRANSPARENTE CAL.150
2222,BB60X70T,BOLSA 60X70 CM TRANSPARENTE CAL 150,KG,BB60X77T,BOLSA 60X77 CM TRANSPARENTE CAL.150
2221,BB60X120T,BOLSA 60X120 CM TRANSPARENTE CAL 150,PZA,BB60X120T,BOLSA 60X120 CM TRANSPARENTE CAL 150
7487,BB6X10CM,BOLSA 5X10cm TRANSPARENTE CAL.150,KG,BB6X10CM,BOLSA 5X10cm TRANSPARENTE CAL.150
2219,BB50X60T,BOLSA 50X60 CM TRANSPARENTE CAL 150,KG,BB50X60T,BOLSA 50X60 CM TRANSPARENTE CAL 150
1726,BB40X60T,BOLSA 40 X 60 TRANSPARENTE CM CAL 150,KG,BB40X60T,BOLSA 40 X 60 TRANSPARENTE CM CAL 150
137,BB40X50T,BOLSA 40 X 50 TRANSPARENTE CM CAL 150,KG,BB40X50T,BOLSA 40 X 50 TRANSPARENTE CM CAL 150
2216,BB38X42T,BOLSA 38X42 PULGADAS TRANSPARENTE CAL.200,PZA,BB38X42T,BOLSA 38X42 PULGADAS TRANSPARENTE CAL.200
393,BB30X40T,BOLSA 30X40 CM TRASPARENTE CAL 150,KG,BB30X40T,BOLSA 30X40 CM TRASPARENTE CAL 150
6695,BB30X120-T,BOLSA 30X120 CM TRANSPARENTE CAL.150,KG,BB20X30T-150,BOLSA 20X30 CM TRANSPARENTE CAL.150
2895,BR30X150T,BOLSA 30 X 150 CM TRANSPARENTE ANTIESTATICA CAL100,PZA,BR100X150T,BOLSA 70+30X150 CM TRANSPARENTE ANTIESTATICA CAL.100
3914,BR30X120T,BOLSA 30 X 120 CM TRANSPARENTEANTIESTATICA CAL.100,PZA,BB120X120TR,BOLSA 80+40X120 CM TRANSPARENTE CAL. 400
769,BR30X120T,BOLSA 30 X 120 CM TRANSPARENTE ANTIESTATICA CAL.100,PZA,BB120X120TR,BOLSA 80+40X120 CM TRANSPARENTE CAL. 400
2894,BR30X110T,BOLSA 30 X 110 CM TRANSPARENTE ANTIESTATICA CAL.100,PZA,BR100X130T,BOLSA 70+30 X130 CM TRASPARENTE CAL. 100 C/250 PIEZA
136,BB25X40T,BOLSA 25X40 CM TRANSPARENTE CAL 150,KG,BB25X40T,BOLSA 25X40 CM TRANSPARENTE CAL 150
135,BB25X35T,BOLSA 25X35 CM TRANSPARENTE CAL 150,KG,BB25X35T,BOLSA 25X35 CM TRANSPARENTE CAL 150
5213,BT24X24,BOLSA 24X24 7 GAL NATURAL C/1000,CAJ,BT24X24,BOLSA 24X24 7 GAL NATURAL C/1000
1102,BB24X30T,BOLSA 24 X 30TRANSPARENTE CAL.150,PZA,BB24X30T,BOLSA 24 X 30  TRANSPARENTE CAL.150
